iter	Logloss
0	0.6651035157
1	0.6403848503
2	0.6194278179
3	0.5961751666
4	0.5792047224
5	0.5603891958
6	0.5450688371
7	0.5296885866
8	0.5154757725
9	0.5009938719
10	0.4886057035
11	0.4754641576
12	0.4661148791
13	0.4564269304
14	0.4455351017
15	0.4353336211
16	0.428762652
17	0.4195066809
18	0.410469524
19	0.4025043867
20	0.394971884
21	0.3872520635
22	0.3805245123
23	0.3741247398
24	0.3680970333
25	0.3635125907
26	0.3577093809
27	0.3518928754
28	0.3463422802
29	0.3424810526
30	0.3369327285
31	0.3330279819
32	0.3294588502
33	0.3265160888
34	0.3233065126
35	0.3199290477
36	0.3163844745
37	0.3121926168
38	0.3102672249
39	0.3078129311
40	0.3054731007
41	0.3018022856
42	0.2988821754
43	0.2963928887
44	0.2937983059
45	0.290866439
46	0.2880347869
47	0.286016765
48	0.2835472966
49	0.2803329422
50	0.2786490035
51	0.2769955001
52	0.2741836404
53	0.2726577799
54	0.2704497193
55	0.267915193
56	0.2656258904
57	0.2641073801
58	0.2626572817
59	0.2609010919
60	0.2598722916
61	0.2577063718
62	0.2563630624
63	0.2550612133
64	0.2530103182
65	0.2517128639
66	0.2504379525
67	0.2490529481
68	0.2478318446
69	0.2460479689
70	0.2445659814
71	0.2434828302
72	0.2423106871
73	0.2410421023
74	0.2393828806
75	0.2381317598
76	0.2372150674
77	0.2360691591
78	0.2347807953
79	0.233655982
80	0.2325584804
81	0.2315955909
82	0.2308149385
83	0.2298860841
84	0.2287877521
85	0.227483605
86	0.225767917
87	0.2247816239
88	0.2240312732
89	0.2225163916
90	0.2215237018
91	0.2208655466
92	0.2197229818
93	0.2186852585
94	0.2175665036
95	0.2166596747
96	0.2157183835
97	0.2143034901
98	0.2134645902
99	0.2125812596
100	0.2119421063
101	0.2112562202
102	0.2106368318
103	0.2100692488
104	0.2092047883
105	0.2084803134
106	0.2077606412
107	0.2069859423
108	0.2056756548
109	0.2047725416
110	0.2036260746
111	0.2029353322
112	0.2023333556
113	0.2017889112
114	0.2012763703
115	0.2008011595
116	0.2001430271
117	0.1994602137
118	0.1988024569
119	0.1980938705
120	0.1971471172
121	0.1965927945
122	0.1958934715
123	0.1953384579
124	0.1946223418
125	0.1940788726
126	0.1934978565
127	0.1927460461
128	0.1921350779
129	0.1914540609
130	0.1906852669
131	0.1896998073
132	0.1890718688
133	0.1880382906
134	0.1874618813
135	0.1864062336
136	0.1857305605
137	0.185147234
138	0.1843777683
139	0.1838884669
140	0.183415723
141	0.1827519131
142	0.1820099553
143	0.1815315335
144	0.1810928828
145	0.1805722325
146	0.1801114211
147	0.1792573663
148	0.1787016295
149	0.178207693
150	0.1775639952
151	0.1771521587
152	0.1763505909
153	0.1759033869
154	0.1754886129
155	0.175017813
156	0.1741491813
157	0.1735594786
158	0.1727838236
159	0.1721086294
160	0.1717980276
161	0.1714117703
162	0.1710487237
163	0.1706259752
164	0.1701468859
165	0.1697835333
166	0.1694805488
167	0.1688903248
168	0.1683210611
169	0.1679082421
170	0.1675460526
171	0.1672037342
172	0.1664758596
173	0.1659606802
174	0.1655215254
175	0.1651183812
176	0.1646838706
177	0.1643172438
178	0.1637963434
179	0.16331863
180	0.1626817341
181	0.1620436493
182	0.161827835
183	0.161399034
184	0.1610074145
185	0.1605803113
186	0.1601329818
187	0.1598037761
188	0.1594986276
189	0.1590646621
190	0.1584539721
191	0.1580847047
192	0.157665196
193	0.1571123214
194	0.1565664217
195	0.1562018594
196	0.1558116314
197	0.1551662684
198	0.1547815241
199	0.154423291
200	0.154045269
201	0.1534476938
202	0.1528008728
203	0.1524479277
204	0.151967365
205	0.1515909759
206	0.151284187
207	0.1510697303
208	0.1507297564
209	0.1504934101
210	0.1500675189
211	0.1495964115
212	0.149299469
213	0.1489157815
214	0.1484831767
215	0.1480975159
216	0.1478822042
217	0.147630674
218	0.1473867924
219	0.1469850836
220	0.1465676855
221	0.1463244814
222	0.1460683623
223	0.1457148114
224	0.1454705738
225	0.1449292116
226	0.1445453164
227	0.1442080586
228	0.1438419163
229	0.143467107
230	0.143132477
231	0.1428793641
232	0.142541692
233	0.1420718846
234	0.1418542715
235	0.1415140541
236	0.1411799126
237	0.140867337
238	0.1404490588
239	0.1401542458
240	0.139924761
241	0.139678403
242	0.1393686026
243	0.1391669919
244	0.1389489714
245	0.1386570128
246	0.1381861676
247	0.1376579807
248	0.1372847689
249	0.137018957
250	0.1367659392
251	0.1364483245
252	0.1360997078
253	0.1357267249
254	0.1354427873
255	0.1352688401
256	0.1349874784
257	0.1347640308
258	0.134475452
259	0.1342102173
260	0.1338981706
261	0.1335940449
262	0.1332303507
263	0.1328480274
264	0.1325999057
265	0.1322984362
266	0.1318553242
267	0.1315483198
268	0.1311359262
269	0.1309239502
270	0.1306959035
271	0.1304537905
272	0.1302321296
273	0.1298054107
274	0.1295301734
275	0.1292120549
276	0.1289414555
277	0.128527652
278	0.1282904992
279	0.1281112919
280	0.12779444
281	0.1276026609
282	0.1272636747
283	0.1269730506
284	0.1266625908
285	0.1264229522
286	0.1260352462
287	0.1258099449
288	0.125494646
289	0.125225912
290	0.1249941435
291	0.1247747589
292	0.1244370641
293	0.1242216167
294	0.1239208618
295	0.1236471264
296	0.1233456513
297	0.123157777
298	0.122820215
299	0.1226053844
300	0.1221928352
301	0.1219390486
302	0.1216159929
303	0.1212758491
304	0.1208940399
305	0.1205984868
306	0.120260332
307	0.1200050277
308	0.119721723
309	0.1194248827
310	0.1192258939
311	0.1188759542
312	0.1184900229
313	0.118301317
314	0.1180451786
315	0.1178105852
316	0.1176320294
317	0.1172687853
318	0.1170040581
319	0.1167860955
320	0.1166170978
321	0.1162802359
322	0.1160398565
323	0.1157594238
324	0.1155306813
325	0.1152334114
326	0.1150477234
327	0.1146466946
328	0.1143149987
329	0.1141081139
330	0.1137664758
331	0.1134507884
332	0.1132749701
333	0.1130651472
334	0.1128068977
335	0.1125930159
336	0.1123246753
337	0.1120449924
338	0.1118189684
339	0.1116231789
340	0.1114244277
341	0.1111871322
342	0.1110182639
343	0.1107896986
344	0.1106557149
345	0.1105080256
346	0.1101490271
347	0.1099629275
348	0.1096732164
349	0.1094085318
350	0.1091192722
351	0.1089683282
352	0.1087530412
353	0.1086129198
354	0.108284076
355	0.108052865
356	0.1078160522
357	0.1075456069
358	0.1073767299
359	0.1070561708
360	0.1068591135
361	0.1066242688
362	0.1063656247
363	0.1060336928
364	0.1057864813
365	0.1055267462
366	0.1053627206
367	0.1050683535
368	0.1048466234
369	0.1046406023
370	0.1044981083
371	0.1041844213
372	0.1039269543
373	0.1036641112
374	0.103442009
375	0.1031533738
376	0.1030035533
377	0.1028212926
378	0.102675528
379	0.1024519939
380	0.1023354969
381	0.102124376
382	0.1019106759
383	0.1016244461
384	0.1013151191
385	0.1011585395
386	0.1009753666
387	0.1008059595
388	0.1005284892
389	0.1003327267
390	0.1001680313
391	0.09990514453
392	0.0997082422
393	0.0995956036
394	0.09944869082
395	0.09923765631
396	0.09913376195
397	0.09879947244
398	0.09864735022
399	0.09845148254
400	0.0982967671
401	0.09799070678
402	0.09769137453
403	0.09738826668
404	0.09714686396
405	0.0970182202
406	0.09686038505
407	0.09667543119
